                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0403,                0.82358,                 1.0839,                0.80491,                0.74948,                 0.8005,                0.66558,                 1.0996,                0.96788,                 1.1128,                0.00307,                0.00307,                0.00307
                     72,                  1.039,                0.82584,                  1.085,                0.81266,                0.73988,                0.79797,                0.66381,                 1.1009,                0.97029,                 1.1141,               0.002971,               0.002971,               0.002971
                     73,                 1.0387,                0.82129,                 1.0795,                0.80367,                0.74068,                0.79803,                0.66647,                 1.1016,                 0.9679,                 1.1144,               0.002872,               0.002872,               0.002872
                     74,                 1.0316,                0.81257,                 1.0768,                0.80662,                0.73824,                0.79813,                0.66702,                 1.1018,                0.96693,                 1.1145,               0.002773,               0.002773,               0.002773
                     75,                 1.0305,                0.81055,                 1.0761,                0.79843,                0.74006,                0.79821,                  0.669,                 1.1017,                0.96391,                 1.1136,               0.002674,               0.002674,               0.002674
                     76,                 1.0215,                0.79787,                 1.0718,                0.79666,                0.74278,                0.79846,                0.66961,                 1.1017,                0.96124,                 1.1135,               0.002575,               0.002575,               0.002575
                     77,                 1.0174,                0.79819,                 1.0706,                0.77288,                0.76669,                 0.7986,                0.66894,                  1.102,                 0.9609,                 1.1139,               0.002476,               0.002476,               0.002476
                     78,                 1.0166,                0.79274,                 1.0683,                 0.7721,                 0.7675,                0.79994,                0.66614,                 1.1014,                 0.9594,                 1.1136,               0.002377,               0.002377,               0.002377
                     79,                 1.0148,                0.79049,                 1.0708,                0.77561,                0.76703,                0.79777,                0.66572,                 1.1025,                0.95945,                 1.1149,               0.002278,               0.002278,               0.002278
                     80,                 1.0124,                0.77968,                 1.0671,                0.77858,                0.76156,                0.79788,                0.66458,                 1.1016,                0.95809,                 1.1148,               0.002179,               0.002179,               0.002179
