                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  1.084,                0.87144,                 1.1017,                0.78114,                0.76449,                0.80239,                0.66743,                 1.1094,                0.98164,                 1.1241,               0.007327,               0.007327,               0.007327
                     56,                 1.0846,                0.87034,                 1.1005,                0.78789,                0.74175,                0.81209,                0.67702,                 1.1112,                0.97506,                 1.1226,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0798,                0.87082,                 1.0986,                0.75449,                0.76381,                0.80177,                0.66681,                 1.1051,                0.97257,                 1.1196,               0.007228,               0.007228,               0.007228
                     58,                 1.0777,                0.86467,                 1.0998,                0.77448,                0.77016,                0.80096,                0.66209,                 1.1086,                0.97394,                 1.1201,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0735,                0.86524,                 1.0994,                 0.7984,                0.74992,                0.80712,                0.67009,                 1.1097,                 0.9761,                 1.1224,               0.007129,               0.007129,               0.007129
                     60,                 1.0764,                0.86256,                 1.1005,                0.81389,                0.74722,                0.80892,                0.67166,                 1.1077,                0.97295,                 1.1217,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.0732,                0.85744,                 1.0982,                0.79902,                0.76098,                   0.81,                0.67658,                 1.1061,                0.97355,                 1.1195,                0.00703,                0.00703,                0.00703
                     62,                 1.0698,                0.85488,                 1.0974,                0.79717,                0.75217,                0.80886,                 0.6687,                 1.1071,                0.97218,                 1.1191,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0702,                0.85253,                 1.0925,                0.80993,                0.73372,                0.80634,                0.67511,                 1.1083,                0.97304,                 1.1197,               0.006931,               0.006931,               0.006931
                     64,                 1.0693,                0.85106,                 1.0965,                0.81137,                0.73028,                0.80745,                0.67283,                 1.1036,                0.96818,                 1.1177,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0641,                0.84405,                 1.0902,                0.80304,                0.73445,                0.80285,                0.67006,                 1.1011,                0.96339,                 1.1152,               0.006832,               0.006832,               0.006832
                     66,                 1.0646,                0.84839,                 1.0932,                0.80031,                0.73493,                0.80079,                0.66536,                 1.0968,                0.96341,                 1.1137,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0611,                0.84328,                 1.0877,                0.81642,                0.71957,                0.80115,                0.66671,                 1.1001,                0.96443,                 1.1154,               0.006733,               0.006733,               0.006733
                     68,                 1.0672,                 0.8436,                 1.0918,                0.80306,                0.73435,                0.80627,                0.67233,                 1.1034,                0.96521,                 1.1177,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0551,                0.83271,                 1.0867,                0.81734,                0.73613,                 0.8146,                0.67817,                 1.1042,                 0.9662,                 1.1172,               0.006634,               0.006634,               0.006634
                     70,                 1.0588,                0.83901,                 1.0891,                0.77906,                 0.7601,                0.81235,                0.67213,                 1.1037,                0.96588,                 1.1168,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0556,                0.83781,                 1.0899,                0.80799,                0.73069,                0.80947,                0.67546,                 1.1041,                0.97228,                 1.1176,               0.006535,               0.006535,               0.006535
