epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2831.53,0.87488,0.63126,0.9607,0.78249,0.71721,0.78798,0.64824,0.97824,0.72416,1.01389,3.68924e-05,3.68924e-05,3.68924e-05
78,2869.8,0.86744,0.63175,0.95859,0.80239,0.69874,0.78608,0.64922,0.98107,0.71774,1.01478,3.54173e-05,3.54173e-05,3.54173e-05
79,2906.37,0.86511,0.63044,0.95812,0.81279,0.69941,0.78673,0.64452,0.98229,0.72453,1.01729,3.39422e-05,3.39422e-05,3.39422e-05
80,2943.26,0.86652,0.62593,0.95557,0.81033,0.69607,0.78898,0.64531,0.98385,0.71715,1.01601,3.24671e-05,3.24671e-05,3.24671e-05
81,2979.68,0.86083,0.62029,0.9555,0.7858,0.70758,0.79046,0.64887,0.98131,0.71658,1.01594,3.0992e-05,3.0992e-05,3.0992e-05
82,3017.55,0.8673,0.62749,0.95918,0.82336,0.69893,0.7895,0.64842,0.97343,0.71354,1.01153,2.95169e-05,2.95169e-05,2.95169e-05
83,3054.8,0.86285,0.6247,0.95406,0.80472,0.71573,0.7886,0.64864,0.98246,0.71604,1.01587,2.80418e-05,2.80418e-05,2.80418e-05
84,3091.98,0.85937,0.6195,0.9553,0.80451,0.70239,0.78989,0.64649,0.98528,0.71383,1.0161,2.65667e-05,2.65667e-05,2.65667e-05
85,3129.62,0.86329,0.62196,0.95506,0.82045,0.70122,0.78992,0.64866,0.97363,0.71406,1.01786,2.50916e-05,2.50916e-05,2.50916e-05
86,3167.28,0.85785,0.61294,0.95252,0.79186,0.71956,0.78806,0.6496,0.97791,0.71114,1.01714,2.36165e-05,2.36165e-05,2.36165e-05
87,3204.54,0.85076,0.61453,0.95379,0.8108,0.70433,0.79067,0.6521,0.97597,0.71104,1.01527,2.21414e-05,2.21414e-05,2.21414e-05
88,3241.59,0.85857,0.61726,0.95464,0.78112,0.72034,0.78979,0.64798,0.97693,0.71231,1.01599,2.06663e-05,2.06663e-05,2.06663e-05
89,3279.09,0.85295,0.61126,0.95192,0.80949,0.70392,0.7934,0.6498,0.9766,0.70623,1.01714,1.91912e-05,1.91912e-05,1.91912e-05
90,3315.52,0.85721,0.61148,0.9537,0.80731,0.70885,0.79202,0.64611,0.98597,0.71483,1.02064,1.77161e-05,1.77161e-05,1.77161e-05
91,3363.33,0.83482,0.57168,0.93719,0.82834,0.6922,0.79959,0.65406,0.97977,0.70776,1.01889,1.6241e-05,1.6241e-05,1.6241e-05
92,3398.4,0.8245,0.55279,0.9332,0.81961,0.69168,0.79006,0.65308,0.97682,0.70892,1.01934,1.47659e-05,1.47659e-05,1.47659e-05
93,3433.9,0.81798,0.54858,0.93109,0.79909,0.71494,0.79727,0.65451,0.981,0.70534,1.02074,1.32908e-05,1.32908e-05,1.32908e-05
94,3469.38,0.81526,0.54387,0.92696,0.81136,0.70615,0.79877,0.65741,0.97708,0.70593,1.01711,1.18157e-05,1.18157e-05,1.18157e-05
95,3506.88,0.81269,0.54029,0.92747,0.80884,0.71237,0.79892,0.66154,0.98107,0.70652,1.01894,1.03406e-05,1.03406e-05,1.03406e-05
96,3541.9,0.80806,0.53921,0.92553,0.8087,0.71437,0.79999,0.65805,0.98218,0.70603,1.01863,8.8655e-06,8.8655e-06,8.8655e-06
97,3577.41,0.80916,0.54095,0.9279,0.81497,0.71011,0.79987,0.65726,0.98087,0.70475,1.01851,7.3904e-06,7.3904e-06,7.3904e-06
98,3612.2,0.80609,0.53762,0.92566,0.80385,0.71177,0.79863,0.65612,0.98117,0.70572,1.02015,5.9153e-06,5.9153e-06,5.9153e-06
99,3648.39,0.80685,0.53925,0.92584,0.80499,0.71094,0.7984,0.65619,0.97845,0.70472,1.01802,4.4402e-06,4.4402e-06,4.4402e-06
100,3683.25,0.80362,0.53408,0.9251,0.83701,0.69114,0.79937,0.65743,0.97769,0.70553,1.01742,2.9651e-06,2.9651e-06,2.9651e-06
